symbol,name,sector,industry,market_cap,country
A,"Agilent Technologies, Inc.",Health Care,Biotechnology,Large Cap,United States
AA,Alcoa Corporation,Materials,Metals & Mining,Large Cap,United States
AABB,"Asia Broadband, Inc.",Materials,Metals & Mining,Micro Cap,United States
AAC,Ares Acquisition Corporation,Financials,Diversified Financial Services,Small Cap,United States
AACBU,Artius II Acquisition Inc. Units,Financials,Diversified Financial Services,Nano Cap,United States
AACI,Armada Acquisition Corp. I Common Stock,Financials,Diversified Financial Services,Nano Cap,United States
AACIU,Armada Acquisition Corp. I Unit,Financials,Diversified Financial Services,Nano Cap,United States
AACIW,Armada Acquisition Corp. I Warrant,Financials,Diversified Financial Services,Nano Cap,United States
AACPU,Apogee Acquisition Corp Units,Financials,Diversified Financial Services,Nano Cap,United States
AACS,"American Commerce Solutions, Inc.",Industrials,Machinery,Nano Cap,United States
AADI,Aadi Bioscience Inc. Common Stock,Health Care,Biotechnology,Nano Cap,United States
AAGC,All American Gold Corp.,Materials,Metals & Mining,Nano Cap,United States
AAGH,America Great Health,Consumer Staples,Food & Staples Retailing,Mid Cap,United States
AAGR,African Agriculture Holdings Inc. Common Stock,Consumer Staples,,Nano Cap,United States
AAGRW,African Agriculture Holdings Inc. Warrant,Financials,Consumer Finance,Nano Cap,United States
AAIC,Arlington Asset Investment Corp.,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap,United States
AAIC-PB,Arlington Asset Investment Corp.,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap,United States
AAIC-PC,Arlington Asset Investment Corp.,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap,United States
AAIC^B,Arlington Asset Investment Corp 7.00% ,Financials,,,United States
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,Financials,,,United States
AAIIQ,"Alabama Aircraft Industries, Inc",Industrials,Aerospace & Defense,Nano Cap,United States
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,Financials,Capital Markets,Small Cap,United States
AAL,American Airlines Group Inc.,Industrials,Airlines,Mid Cap,United States
AAMC,Altisource Asset Management Corporation,Financials,Capital Markets,Nano Cap,United States
AAME,Atlantic American Corporation,Financials,Insurance,Micro Cap,United States
AAMTF,Armada Mercantile Ltd.,Financials,Capital Markets,Nano Cap,United States
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,Financials,,,United States
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,Financials,,,United States
AAN,"The Aaron's Company, Inc.",Consumer Discretionary,Specialty Retail,Small Cap,United States
AAOI,"Applied Optoelectronics, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap,United States
AAON,"AAON, Inc.",Industrials,Building Products,Mid Cap,United States
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Specialty Retail,Mid Cap,United States
AAPJ,"AAP, Inc.",Information Technology,Communications Equipment,Nano Cap,United States
AAPL,Apple Inc.,Information Technology,"Electronic Equipment, Instruments & Components",Mega Cap,United States
AAPT,"All American Pet Company, Inc.",Consumer Staples,Food & Staples Retailing,Nano Cap,United States
AAQC-UN,Accelerate Acquisition Corp.,Financials,Diversified Financial Services,,United States
AARD,Aardvark Therapeutics Inc. Common Stock,Health Care,Biotechnology,Micro Cap,United States
AASL,America's Suppliers Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,Nano Cap,United States
AASP,Global Acquisitions Corporation,Financials,Diversified Financial Services,Nano Cap,United States
AAT,"American Assets Trust, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs),Small Cap,United States
AATV,"Adaptive Ad Systems, Inc.",Communication Services,Diversified Telecommunication Services,Nano Cap,United States
AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Air Freight & Logistics,Mid Cap,United States
AB,AllianceBernstein Holding L.P.,Financials,Capital Markets,Mid Cap,United States
ABAT,American Battery Technology Company Common Stock,Materials,Metals & Mining,Small Cap,United States
ABBB,"Auburn Bancorp, Inc.",Financials,Banks,Nano Cap,United States
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,Mega Cap,United States
ABBY,"Abby, Inc.",Communication Services,Diversified Telecommunication Services,Nano Cap,United States
ABC,AmerisourceBergen Corporation,Health Care,Health Care Providers & Services,Large Cap,United States
ABCB,Ameris Bancorp,Financials,Banks,Mid Cap,United States
ABCE,"ABCO Energy, Inc.",Information Technology,"Technology Hardware, Storage & Peripherals",Nano Cap,United States
ABCP,AmBase Corporation,Real Estate,Real Estate Management & Development,Nano Cap,United States
ABDR,Ambassador Food Services Corp.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap,United States
ABEO,Abeona Therapeutics Inc.,Health Care,Biotechnology,Micro Cap,United States
ABG,Asbury Automotive Group Inc,Consumer Discretionary,Automobiles,Mid Cap,United States
ABGI,ABG Acquisition Corp. I,Financials,Diversified Financial Services,Micro Cap,United States
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology,Nano Cap,United States
ABKB,"American Basketball Association, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap,United States
ABL,Abacus Life Inc. Class A Common Stock,Financials,Capital Markets,Small Cap,United States
ABLE,"Able Energy, Inc.",Information Technology,"Technology Hardware, Storage & Peripherals",Nano Cap,United States
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,Financials,,Small Cap,United States
ABLLW,Abacus Life Inc. Warrant,Financials,Capital Markets,Micro Cap,United States
ABLT,American Biltrite Inc.,Materials,Chemicals,Nano Cap,United States
ABM,ABM Industries Incorporated,Industrials,Professional Services,Mid Cap,United States
ABMC,American Bio Medica Corporation,Health Care,Biotechnology,Nano Cap,United States
ABMD,"Abiomed, Inc.",Health Care,Health Care Technology,Large Cap,United States
